8 ಅಷ್ಟಸಿದ್ಧಿಗಳು - ಅಣಿಮಾ, ಮಹಿಮಾ, ಲಘಿಮಾ, ಗರಿಮಾ, ಪ್ರಾಪ್ತಿ, ಪ್ರಾಕಾಮ್ಯ, ವಶಿತ್ವ, ಈಶಿತ್ವ
8 ಅಷ್ಟದ್ರವ್ಯ - ಇಕ್ಷು, ಗುಡ, ನಾರಿಕೇಲ, ಕದಲೀಫಲ, ಲಾಜ, ತಿಲ, ಪೃಥುಕ, ಘೃತ
8 ಅಷ್ಟಮಹಿಷಿ - ರುಕ್ಮಿಣೀ, ಸತ್ಯಭಾಮಾ, ಜಾಂಬವತೀ, ನಾಗ್ನಜಿತಿ/ನೀಲಾ, ಭದ್ರಾ, ಮಿತ್ರವಿಂದಾ, ಕಾಲಿಂದೀ, ಚಾರುಹಾಸಿನಿ/ಲಕ್ಷಣಾ
8 ಅಷ್ಟವಸು - ಧರಾ, ಆಪ, ಅನಲ, ಅನಿಲ, ಧ್ರುವ, ಸೋಮ, ಪ್ರತ್ಯೂಷ, ಪ್ರಭಾಸ
8 ಅಷ್ಟವಾಹನ - ಗಜ, ಮೇಷ, ಮಹಿಷ, ಮನುಷ್ಯ, ಮಕರ, ಹರಿಣ, ಅಶ್ವ, ವೃಷಭ
8 ಅಷ್ಟಸಿದ್ಧಿ - ಅಣಿಮಾ, ಮಹಿಮಾ, ಲಘಿಮಾ, ಗರಿಮಾ, ಪ್ರಾಪ್ತಿ, ಪ್ರಾಕಾಮ್ಯ, ಈಶತ್ವ, ವಶಿತ್ವ
8 ಅಷ್ಟವಿಧ ವಿವಾಹ - ಬ್ರಾಹ್ಮ, ಪ್ರಾಜಾಪತ್ಯ, ಆರ್ಷ, ಗಾಂಧರ್ವ, ದೈವ, ಆಸುರ, ರಾಕ್ಷಸ, ಪೈಶಾಚ
8 ಅಷ್ಟವಿಧ ಶಿಷ್ಟಾಚಾರ - ದಾನ, ಸತ್ಯ, ತಪಸ್, ಅಲೋಭ, ವಿದ್ಯಾ, ಇಜ್ಯಾ, ಪೂಜನ, ದಮ
8 ದ್ವಾರಪಾಲಕರು - ಜಯ, ವಿಜಯ (ಪೂರ್ವ), ಬಲ, ಪ್ರಬಲ (ದಕ್ಷಿಣ), ನಂದ, ಸುನಂದ (ಪಶ್ಚಿಮ), ಕುಮುದ, ಕುಮುದಾಕ್ಷ (ಉತ್ತರ)
8 ಅಷ್ಟಾವಧಾನ - ನಿಷೇಧಾಕ್ಷರಿ, ಚಿತ್ರಕವಿತಾ, ಕಾವ್ಯ ವಾಚನ, ಸಮಸ್ಯಾಪೂರಣಂ, ದತ್ತಪದಿ, ಅಪ್ರಸ್ತುತ ಪ್ರಸಂಗಂ, ಆಶು ಕವಿತಾ, ಸಂಖ್ಯಾ ಬಂಧ
8 ಅಷ್ಟಾವಧಾನ ಸೇವಾ - ಋಕ್, ಯಜುರ್, ಸಾಮ, ಅಥರ್ವಣ, ಶಾಸ್ತ್ರ, ಪುರಾಣ, ಸಂಗೀತ, ಸ್ತೋತ್ರ
8 ಅಷ್ಟಗೋಪಿ/ಅಷ್ಟಸಖೀ - ಲಲಿತಾ ಸಖಿ, ವಿಶಾಖ ಸಖಿ, ಚಂಪಕಲತಾ ಸಖಿ, ಚಿತ್ರಾ ಸಖಿ, ತುಂಗವಿದ್ಯಾ ಸಖಿ, ಇಂದುಲೇಖ ಸಖಿ, ರಂಗಾದೇವಿ ಸಖಿ, ಸುದೇವಿ ಸಖಿ, ಅನುರಾಧಾ ಸಖಿ, ಶ್ವೇತಾ ಸಖಿ
8 ಅಷ್ಟಭೈರವ - ಅಸಿತಂಗ, ಚಂಡ, ಕಪಾಲ, ಕ್ರೋಧ, ಉನ್ಮತ್ತ, ಭೀಷಣ, ರುರು, ಸಂಹಾರ
8 ಅಷ್ಟ ಚಂಡಿಕೆಯರು - ಉಗ್ರಚಂಡಾ, ಪ್ರಚಂಡಾ, ಚಂಡೋಗ್ರಾ, ಚಂಡನಾಯಕಿ, ಚಂಡಾ, ಚಂಡವತಿ, ಚಂಡರೂಪಾ, ಅತಿಚಂಡಿಕಾ
