4 ಚತುರುಪಾಯಗಳು - ಸಾಮ, ದಾನ, ಭೇದ, ದಂಡ
4 ಚತುರ್ವಿಧ ಮಾರ್ಗ - ಪಿಪೀಲಿಕಾ, ಮತ್ಸ್ಯ, ಮರ್ಕಟ, ವಿಹಂಗಮ
4 ಚತುರ್ವಿಧ ಯೋಗ - ಮಂತ್ರ, ಲಯ, ಹಠ, ರಾಜ
4 ಚತುರ್ವಿಧ ಶ್ವಾಸ - ಪೂರಕ, ಕುಂಭಕ, ರೇಚಕ, ಶೂನ್ಯಕ
4 ಚತುರಾಶ್ರಮ - ಬ್ರಹ್ಮಚರ್ಯ, ಗಾರ್ಹಸ್ಥ್ಯ, ವಾನಪ್ರಸ್ಥ, ಸಂನ್ಯಾಸ
4 ಚತುರ್ಗಕಾರ ಗೀತಾ, ಗಂಗಾ, ಗಾಯತ್ರೀ, ಗೋವಿಂದ
4 ಚತುರ್ಗತಿ ದೇವ, ಮನುಷ್ಯ, ತಿರ್ಯಕ್, ನಾರಕ
4 ಚತುರ್ದನ್ಡೀ  ಉದಾತ್ತ, ಅನುದಾತ್ತ, ಸ್ವರಿತ, ಪ್ರಚಯ
4 ಚತುರ್ಮಠಾಚಾರ್ಯ ಹಸ್ತಾಮಲಕ, ಸುರೇಶ್ವರ, ಪದ್ಮಪಾದ, ತೋಟಕ
4 ಚತುರ್ವರ್ಣ  ಬ್ರಾಹ್ಮಣ, ಕ್ಷತ್ರಿಯ, ವೈಶ್ಯ, ಶೂದ್ರ
4 ಅವಸ್ಥಾಚತುಷ್ಟಯ ಆರಮ್ಭ, ಘಟ, ಪರಿಚಯ, ನಿಷ್ಪತ್ತಿ
4 ಋತ್ವಿಕ್ಚತುಷ್ಟಯ  ಹೋತೃ, ಅಧ್ವರ್ಯು, ಉದ್ಗಾತೃ, ಬ್ರಹ್ಮ
4 ಕರ್ಮಫಲಚತುಷ್ಟಯ ಉತ್ಪತ್ತಿ, ಪ್ರಾಪ್ತಿ, ಸಂಸ್ಕೃತಿ, ವಿಕೃತಿ
4 ಕಲ್ಪಸೂತ್ರಚತುಷ್ಟಯ ಶ್ರೌತ, ಶುಲ್ಬ, ಗೃಹ್ಯ, ಧರ್ಮ
4 ಕಾರ್ಯಚತುಷ್ಟಯ ಚಿಂತನ-ಕಲ್ಪನಾ, ಸ್ಮರಣ-ಭಾವನಾ, ನಿಶ್ಚಯ, ವಿಷಯ
4 ದೇವಚತುಷ್ಟಯ ಚಂದ್ರ, ವಿಷ್ಣು, ಬ್ರಹ್ಮಾ, ರುದ್ರ
4 ದುಷ್ಟಚತುಷ್ಟಯ ದುರ್ಯೋಧನ, ದುಷ್ಶಾಸನ, ಶಕುನಿ, ಕರ್ಣ
4 ಕಾರ್ಯ/ಪ್ರಲಯಚತುಷ್ಟಯ ನಿತ್ಯ, ನೈಮಿತ್ತಿಕ, ಪ್ರಾಕೃತಿಕ, ಆತ್ಯಂತಿಕ
4 ಭಾವನಾಚತುಷ್ಟಯ ಮೈತ್ರೀ, ಕರುಣಾ, ಮುದಿತಾ, ಉಪೇಕ್ಷಾ
4 ಮಹಾವಾಕ್ಯಚತುಷ್ಟಯ ಪ್ರಜ್ಞಾನಂ ಬ್ರಹ್ಮ, ಅಹಂ ಬ್ರಹ್ಮಾಸ್ಮಿ, ತತ್ತ್ವಮಸಿ, ಅಯಮಾತ್ಮಾ ಬ್ರಹ್ಮ
4 ಮಹಾವಾಕ್ಯಾರ್ಥಚತುಷ್ಟಯ ಲಕ್ಷಣವಾಕ್ಯ, ಅನುಭವವಾಕ್ಯ, ಉಪದೇಶವಾಕ್ಯ, ಅನುಸನ್ಧಾನವಾಕ್ಯ
4 ಮಾನಸಪುತ್ರಚತುಷ್ಟಯ ಸನಕ, ಸನನ್ದನ, ಸನತ್ಸುಜಾತ, ಸನತ್ಕುಮಾರ
4 ಶಿಷ್ಯಚತುಷ್ಟಯ ಪೈಲ, ವೈಷಮ್ಪಾಯನ, ಜೈಮಿನಿ, ಸುಮನ್ತು
4 ಚತುರ್ವಿಧ ಅನುಷ್ಠಾನ ತಪಸ್, ಜ್ಞಾನ, ಯಜ್ಞ, ದಾನ
4 ಚತುರ್ವಿಧ ಅನುಷ್ಠಾನ ಧ್ಯಾನ, ಯಜ್ಞ, ಅರ್ಚನ, ಸಂಕೀರ್ತನ
4 ಚತುರ್ವಿಧ ಅಭಾವ ಪ್ರಾಕ್, ಪ್ರಧ್ವಂಸ, ಇತರೇತರ, ಆತ್ಯಂತ
4 ಚತುರ್ವಿಧ ನಾದ ಪರಾ, ಪಶ್ಯಂತೀ, ಮಧ್ಯಮಾ, ವೈಖರೀ
4 ಚತುರ್ವಿಧ ರೂಪ ಭಾರತೀ, ಸಾವಿತ್ರೀ, ಗಾಯತ್ರೀ, ಸರಸ್ವತೀ
4 ಚತುರಂಗ ಬಲ ರಥ, ಹಸ್ತೀ, ತುರಗ, ಪದಾತಿ
4 ಧರ್ಮಪಾದಾಃ - ವೈಖರೀ, ಮಧ್ಯಮಾ, ಪಶ್ಯಂತೀ, ಪರಾ
